id,liquid_path,container_path,volume_ml
Cell_Flask_160mL_110ml_1105_1009,Cell_Flask_160mL_110ml_1105_1009/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1009/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1010,Cell_Flask_160mL_110ml_1105_1010/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1010/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1012,Cell_Flask_160mL_110ml_1105_1012/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1012/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1014,Cell_Flask_160mL_110ml_1105_1014/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1014/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1015,Cell_Flask_160mL_110ml_1105_1015/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1015/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1017,Cell_Flask_160mL_110ml_1105_1017/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1017/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1018,Cell_Flask_160mL_110ml_1105_1018/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1018/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1019,Cell_Flask_160mL_110ml_1105_1019/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1019/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1020,Cell_Flask_160mL_110ml_1105_1020/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1020/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1022,Cell_Flask_160mL_110ml_1105_1022/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1022/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1024,Cell_Flask_160mL_110ml_1105_1024/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1024/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1025,Cell_Flask_160mL_110ml_1105_1025/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1025/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1027,Cell_Flask_160mL_110ml_1105_1027/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1027/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1028,Cell_Flask_160mL_110ml_1105_1028/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1028/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1029,Cell_Flask_160mL_110ml_1105_1029/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1029/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1031,Cell_Flask_160mL_110ml_1105_1031/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1031/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1032,Cell_Flask_160mL_110ml_1105_1032/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1032/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1033,Cell_Flask_160mL_110ml_1105_1033/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1033/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_110ml_1105_1034,Cell_Flask_160mL_110ml_1105_1034/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_110ml_1105_1034/Input_EmptyVessel_Depth_segmented.npy,110.0
Cell_Flask_160mL_117ml_0905_1632,Cell_Flask_160mL_117ml_0905_1632/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1632/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1633,Cell_Flask_160mL_117ml_0905_1633/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1633/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1636,Cell_Flask_160mL_117ml_0905_1636/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1636/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1637,Cell_Flask_160mL_117ml_0905_1637/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1637/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1640,Cell_Flask_160mL_117ml_0905_1640/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1640/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1642,Cell_Flask_160mL_117ml_0905_1642/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1642/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1643,Cell_Flask_160mL_117ml_0905_1643/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1643/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1644,Cell_Flask_160mL_117ml_0905_1644/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1644/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1647,Cell_Flask_160mL_117ml_0905_1647/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1647/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1649,Cell_Flask_160mL_117ml_0905_1649/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1649/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1651,Cell_Flask_160mL_117ml_0905_1651/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1651/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1653,Cell_Flask_160mL_117ml_0905_1653/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1653/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1655,Cell_Flask_160mL_117ml_0905_1655/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1655/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1656,Cell_Flask_160mL_117ml_0905_1656/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1656/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1658,Cell_Flask_160mL_117ml_0905_1658/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1658/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1700,Cell_Flask_160mL_117ml_0905_1700/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1700/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1703,Cell_Flask_160mL_117ml_0905_1703/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1703/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1705,Cell_Flask_160mL_117ml_0905_1705/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1705/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1707,Cell_Flask_160mL_117ml_0905_1707/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1707/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1709,Cell_Flask_160mL_117ml_0905_1709/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1709/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1713,Cell_Flask_160mL_117ml_0905_1713/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1713/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_117ml_0905_1714,Cell_Flask_160mL_117ml_0905_1714/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_117ml_0905_1714/Input_EmptyVessel_Depth_segmented.npy,117.0
Cell_Flask_160mL_124ml_2404_5440,Cell_Flask_160mL_124ml_2404_5440/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5440/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5447,Cell_Flask_160mL_124ml_2404_5447/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5447/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5503,Cell_Flask_160mL_124ml_2404_5503/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5503/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5506,Cell_Flask_160mL_124ml_2404_5506/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5506/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5510,Cell_Flask_160mL_124ml_2404_5510/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5510/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5514,Cell_Flask_160mL_124ml_2404_5514/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5514/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5522,Cell_Flask_160mL_124ml_2404_5522/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5522/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_124ml_2404_5524,Cell_Flask_160mL_124ml_2404_5524/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_124ml_2404_5524/Input_EmptyVessel_Depth_segmented.npy,124.0
Cell_Flask_160mL_132ml_1105_1051,Cell_Flask_160mL_132ml_1105_1051/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1051/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1052,Cell_Flask_160mL_132ml_1105_1052/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1052/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1053,Cell_Flask_160mL_132ml_1105_1053/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1053/Input_EmptyVessel_Depth_segmented.npy,132.0
